trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
792,False,"{'a': 0.5, 'e': 0.031314738925918455}",20,4,14.071184084473375,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
793,False,"{'a': 0.5, 'e': 0.031158165231288865}",20,16,7.3280804119601894,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.5, 'e': 0.03100237440513242}",20,9,17.34944611364805,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.5, 'e': 0.030847362533106756}",25,19,11.333001309715828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.5, 'e': 0.030693125720441222}",35,18,28.42923917467171,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.5, 'e': 0.030539660091839015}",20,11,16.219482623434473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,False,"{'a': 0.5, 'e': 0.03038696179137982}",20,15,11.702451460993343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
799,False,"{'a': 0.5, 'e': 0.030235026982422922}",20,8,21.681583154449164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.5, 'e': 0.030083851847510806}",25,13,17.685862442326844,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.5, 'e': 0.029933432588273252}",25,17,15.34768536563743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.5, 'e': 0.029783765425331888}",30,16,18.903483807242345,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.5, 'e': 0.029634846598205228}",20,12,14.419055746881446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
804,False,"{'a': 0.5, 'e': 0.0294866723652142}",25,15,22.064014626952634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.5, 'e': 0.02933923900338813}",25,18,13.845603776004126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.5, 'e': 0.029192542808371188}",30,16,24.699754861188108,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.5, 'e': 0.02904658009432933}",20,8,22.58023601094022,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.5, 'e': 0.028901347193857688}",20,4,25.859257642837893,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.028756840457888396}",25,13,21.478938928821567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.5, 'e': 0.028613056255598956}",20,12,13.352099132263334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.5, 'e': 0.02846999097432096}",20,13,14.68627008482239,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.5, 'e': 0.028327641019449356}",30,10,-0.3033371535425058,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
813,False,"{'a': 0.5, 'e': 0.028186002814352108}",20,9,19.162412665459435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
