trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.5081942692536,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
176,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.3083179394784,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
177,False,"{'a': 0.5, 'e': 1.0}",20,0,-202.32497946710188,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
178,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.133261190720425,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.4215817476974,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
180,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.31154521578306,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
181,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.42610735637311,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
182,False,"{'a': 0.5, 'e': 1.0}",25,12,-9.718912771692835,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.78765546637142,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
184,False,"{'a': 0.5, 'e': 1.0}",20,10,-108.6911336981979,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 2}",1
185,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.2384390355034,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
186,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.05160645489252,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
187,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.0079401525057,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
188,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.45041493412707,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.88510828290893,"{0: 8, 1: 7, 2: 8, 3: 1, 4: 1}",0
190,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.40685980813379,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
191,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.5464108735765,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
192,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.555294918185275,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
193,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.2629911000021,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
194,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.26657415274875,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
195,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.79438852875846,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
196,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.58653954005958,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
197,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.6362734985591,"{0: 14, 1: 7, 2: 5, 3: 3, 4: 1}",0
198,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.90917984338742,"{0: 18, 1: 7, 2: 0, 3: 1, 4: 4}",0
199,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.34585037513997,"{0: 10, 1: 3, 2: 7, 3: 3, 4: 2}",0
200,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.52159237677792,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
201,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.19885364197336,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
202,False,"{'a': 0.5, 'e': 1.0}",30,0,-247.69753204084773,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
203,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.48116338277909,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
204,False,"{'a': 0.5, 'e': 1.0}",20,1,-64.87491898008395,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
205,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.20176599389087,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
206,False,"{'a': 0.5, 'e': 1.0}",20,9,-43.30554058037953,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
207,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.36298133340107,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
208,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.55805783527505,"{0: 18, 1: 8, 2: 2, 3: 1, 4: 1}",0
209,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.43594532560996,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
210,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.42766869354628,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
211,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.26313842222092,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
212,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.12699642280924,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
213,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.38906023432318,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
214,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.07124336412171,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
215,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.34670787063573,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
216,False,"{'a': 0.5, 'e': 1.0}",20,1,-193.17521898389626,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 3}",1
217,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.13153444330094,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
218,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.9279523517991,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
219,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.40637661291072,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
220,False,"{'a': 0.5, 'e': 1.0}",25,17,-9.201755139828727,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
221,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.34666357353002,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
222,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.825252975350885,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
223,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.79784579913525,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
224,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.45878628360958,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
225,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.61364879626734,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
226,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.86284964670435,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
227,False,"{'a': 0.5, 'e': 1.0}",25,4,-119.91968612080932,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 2}",1
228,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.93185100262095,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
229,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.38673710261914,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
